iter	Logloss
0	0.6889630226
1	0.6845047364
2	0.681277975
3	0.6773939969
4	0.6744121787
5	0.6714518998
6	0.6678781504
7	0.6659895424
8	0.6640957721
9	0.6623566043
10	0.6603926087
11	0.6589077297
12	0.6567460528
13	0.6548113844
14	0.6532698089
15	0.6515070547
16	0.649776832
17	0.6484515399
18	0.6467040947
19	0.6447842457
20	0.6435925509
21	0.6414665652
22	0.6396579287
23	0.638154136
24	0.6359775062
25	0.6348262644
26	0.6335950956
27	0.6310251504
28	0.6293708049
29	0.6278535279
30	0.6268022838
31	0.6258315896
32	0.6248122985
33	0.6237564706
34	0.6228064702
35	0.6215334244
36	0.6205463532
37	0.6190706418
38	0.6183117808
39	0.6174519875
40	0.6164452462
41	0.6150106998
42	0.6140235841
43	0.6131106101
44	0.6121116567
45	0.6105045731
46	0.6094140776
47	0.6084920695
48	0.6071749659
49	0.6054145258
50	0.6040420608
51	0.6022844689
52	0.6008644305
53	0.6000201241
54	0.5987466778
55	0.5968518839
56	0.5958799882
57	0.5951965148
58	0.5943975123
59	0.5936567194
60	0.5929622984
61	0.5919262742
62	0.5913747071
63	0.5906328461
64	0.5899543126
65	0.5889924745
66	0.5882710848
67	0.5870586072
68	0.5857701634
69	0.5849606137
70	0.5843088263
71	0.5837914373
72	0.5818959759
73	0.5813637229
74	0.58067887
75	0.5796078221
76	0.5784072713
77	0.5775676377
78	0.5768415308
79	0.5757573546
80	0.5748071317
81	0.5733807294
82	0.5725066062
83	0.5710652509
84	0.5703324685
85	0.5688582702
86	0.5677065389
87	0.5666325538
88	0.5650925359
89	0.5644799555
90	0.5624124909
91	0.5610357536
92	0.5600477924
93	0.559160808
94	0.5583078681
95	0.5566620227
96	0.5553768275
97	0.554480364
98	0.5532700225
99	0.5519032984
