iter	Passed	Remaining
0	24	2413
1	36	1765
2	47	1530
3	58	1404
4	70	1332
5	81	1276
6	93	1237
7	104	1201
8	115	1172
9	127	1145
10	139	1124
11	151	1108
12	162	1090
13	174	1068
14	185	1052
15	197	1036
16	208	1020
17	219	1001
18	231	986
19	242	971
20	254	956
21	265	943
22	277	928
23	288	913
24	300	901
25	312	888
26	323	875
27	335	861
28	346	849
29	359	838
30	370	824
31	382	812
32	393	799
33	405	787
34	417	774
35	428	761
36	440	750
37	451	736
38	462	723
39	474	711
40	485	697
41	496	686
42	508	674
43	519	661
44	530	648
45	542	636
46	553	623
47	564	611
48	575	598
49	586	586
50	597	574
51	609	562
52	620	550
53	632	538
54	643	526
55	654	514
56	666	502
57	677	490
58	689	478
59	700	466
60	711	454
61	722	443
62	734	431
63	745	419
64	756	407
65	768	395
66	779	383
67	790	372
68	801	360
69	812	348
70	824	336
71	835	325
72	847	313
73	858	301
74	869	289
75	880	277
76	891	266
77	902	254
78	913	242
79	925	231
80	936	219
81	947	208
82	958	196
83	969	184
84	981	173
85	991	161
86	1002	149
87	1014	138
88	1025	126
89	1037	115
90	1048	103
91	1059	92
92	1070	80
93	1081	69
94	1092	57
95	1103	45
96	1115	34
97	1126	22
98	1137	11
99	1148	0
